"";"Focal";"Date";"Age.new";"Age.scale";"percentage.duration.groomed";"mean.party.size.scale";"Age.mother.round.scale";"rank.scale";"months.pregnant.scale";"Duration.static";"duration.groomed";"Group";"Sex";"family.member";"Group.centered";"Sex.centered";"family.member.centered"
"265";"SF14";"2022-10-06";107;1,76105788487309;2,99227202472952;0,611193510811048;-0,424976152739494;-1,50416979929762;-0,29358380298172;16175;484;"SUD";"F";"No";0,569642857142857;-0,6125;-0,394642857142857
"266";"SF14";"2023-01-24";110;1,86648414887148;0;0,26511831763189;-0,424976152739494;-1,50416979929762;-0,29358380298172;10779;0;"SUD";"F";"No";0,569642857142857;-0,6125;-0,394642857142857
"267";"SF14";"2023-01-26";110;1,86648414887148;0;0,784231107400626;-0,424976152739494;-1,50416979929762;-0,29358380298172;5341;0;"SUD";"F";"No";0,569642857142857;-0,6125;-0,394642857142857
"268";"SF14";"2023-02-27";111;1,90162623687094;8,27210884353742;2,86068226647557;-0,424976152739494;-1,50416979929762;-0,29358380298172;3675;304;"SUD";"F";"No";0,569642857142857;-0,6125;-0,394642857142857
"269";"NM15";"2021-12-27";20;-1,29630377108019;0;-0,946144858495161;-1,23629426251489;-0,619992076696548;-0,29358380298172;1955;0;"NORD";"M";"Yes";-0,430357142857143;0,3875;0,605357142857143
"270";"NM15";"2022-02-14";22;-1,22601959508126;3,89771319139349;-0,600069665316003;-1,10107457755232;-0,619992076696548;-0,29358380298172;8877;346;"NORD";"M";"Yes";-0,430357142857143;0,3875;0,605357142857143
"271";"NM15";"2022-02-26";22;-1,22601959508126;1,83571666112404;0,438155914221469;-1,10107457755232;-0,619992076696548;-0,29358380298172;15035;276;"NORD";"M";"Yes";-0,430357142857143;0,3875;0,605357142857143
"272";"NM15";"2022-03-07";23;-1,1908775070818;4,23105224429728;0,0920807210423114;-1,10107457755232;-0,619992076696548;-0,29358380298172;5436;230;"NORD";"M";"Yes";-0,430357142857143;0,3875;0,605357142857143
"273";"NM15";"2022-03-15";23;-1,1908775070818;0,16938712657838;0,0920807210423114;-1,10107457755232;-0,619992076696548;-0,29358380298172;6494;11;"NORD";"M";"Yes";-0,430357142857143;0,3875;0,605357142857143
"274";"NM15";"2022-03-18";23;-1,1908775070818;0;0,26511831763189;-1,10107457755232;-0,619992076696548;-0,29358380298172;1997;0;"NORD";"M";"Yes";-0,430357142857143;0,3875;0,605357142857143
